IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
1,13.515101,52.400134,1,50,0,0
2,13.310730,52.565405,1,40,1,180
3,13.420044,52.461298,1,80,1,80
4,13.420113,52.461176,1,80,1,260
5,13.436953,52.462534,1,80,1,80
6,13.436984,52.462407,1,80,1,260
7,8.975848,52.914950,1,70,0,0
8,10.396008,52.967689,1,0,0,0
9,10.281786,52.481295,1,70,1,270
10,10.442510,53.263679,1,80,1,170
11,10.429910,52.449159,1,0,0,0
12,10.176283,53.111829,1,0,0,0
13,8.879108,53.060850,1,50,1,110
14,13.492327,52.458026,1,50,0,0
15,10.798486,52.427499,1,50,1,110
16,13.880069,54.070378,1,100,0,0
17,12.911913,52.557054,1,30,0,0
18,13.244129,54.081415,1,70,0,0
19,9.736974,53.788184,1,0,0,0
20,9.220794,52.888309,1,70,1,0
21,9.212958,52.833941,1,70,0,0
22,9.679517,53.269129,1,50,0,0
23,10.524935,52.466644,1,100,0,0
24,13.263280,53.551529,1,50,1,197
25,13.266645,53.559378,1,0,1,180
26,10.675355,52.470488,1,50,0,0
27,10.685087,52.468707,1,50,0,0
28,9.888620,53.871386,1,0,0,0
29,12.330964,52.620902,1,0,0,0
30,9.669283,52.415609,1,50,0,0
31,13.486902,52.512485,1,50,0,0
32,13.633902,54.368969,1,50,1,0
33,13.398540,54.094801,1,50,0,0
34,13.400994,54.094776,1,50,1,105
35,13.719209,54.039977,1,70,0,0
36,13.735868,53.807110,1,80,0,0
37,9.803469,53.376671,1,50,0,0
38,10.484159,52.607884,1,70,1,180
39,10.484024,52.607859,1,70,1,5
40,11.293837,53.181876,1,50,0,0
41,11.538386,53.354097,1,70,0,0
42,9.275068,53.013387,1,70,0,0
43,11.437847,53.598268,1,50,1,0
44,11.457429,53.599853,1,60,1,0
45,9.379847,53.594395,1,0,0,0
46,9.270922,53.118578,1,70,1,275
47,9.533803,53.201635,1,70,1,40
48,13.001744,52.405524,1,50,1,100
49,13.582401,54.008982,1,100,1,170
50,13.315869,52.464484,1,30,1,310
51,10.143271,52.676240,1,70,0,0
52,9.801585,53.783637,1,50,1,110
53,9.690849,53.791708,1,50,1,0
54,10.129386,53.918608,1,50,0,0
55,9.875877,53.772556,1,50,0,0
56,12.354242,54.259707,1,60,1,0
57,13.443174,54.422912,1,0,0,0
58,10.701250,53.852294,1,0,1,335
59,9.570319,53.507460,1,0,0,0
60,11.834427,53.099186,1,70,0,0
61,11.812743,53.117123,1,70,0,0
62,9.692348,53.437517,1,50,0,0
63,12.951900,53.897718,1,50,1,285
64,12.501886,53.358928,1,70,0,0
65,12.424763,53.463594,1,0,0,0
66,11.067771,53.880441,1,50,1,0
67,11.559383,53.698211,1,50,0,0
68,12.349757,53.512697,1,50,1,320
69,9.537901,53.000243,1,70,1,130
70,10.628143,52.957051,1,100,1,80
71,10.631327,52.957175,1,100,1,260
72,10.727155,52.947789,1,50,0,0
73,13.913878,52.480657,1,50,0,0
74,13.807923,52.489196,1,70,0,0
75,10.289059,52.833162,1,0,0,0
76,10.953208,52.891554,1,0,0,0
77,9.959523,53.470075,1,50,1,125
78,9.326296,53.752101,1,50,1,335
79,10.308415,52.453329,1,50,1,320
80,10.750580,52.936509,1,50,1,300
81,9.780627,53.538120,1,50,1,0
82,11.399330,53.717763,1,0,0,0
83,11.403285,53.727799,1,0,0,0
84,11.172352,53.657604,1,0,0,0
85,11.472315,53.483071,1,50,1,0
86,11.385495,53.644308,1,0,0,0
87,12.151319,54.090778,1,50,1,300
88,10.918139,52.906557,1,70,0,0
89,8.771247,53.061742,1,60,0,0
90,12.370249,52.521586,1,0,0,0
91,9.226673,53.353577,1,0,0,0
92,10.485081,53.138539,1,0,0,0
93,12.181466,54.102339,1,50,1,235
94,12.093892,54.094735,1,50,1,340
95,13.385849,52.469599,1,50,1,195
